"","AP4_10_01","AP4_10_02","AP4_10_03","AP4_10_04","AP4_10_05","AP4_10_06","AP4_10_09","AP4_10_10","AP4_10_11","AP4_10_12","AP4_10_14","AP4_10_15","AP4_11_01","AP4_11_02","AP4_11_03","AP4_11_04","AP4_11_05","AP4_11_06","AP4_11_07","AP4_11_08","AP4_11_09","AP4_11_10"
"593",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"597",2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"598",1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2
"600",2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2
"601",1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"602",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"604",2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2
"605",2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"606",2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2
"608",2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"609",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"614",1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2
"615",1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"616",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"617",2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"619",1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2
"620",1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,2,2,2
"624",1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2
"627",2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2
"628",1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2
